,REPORTING_YEAR,STATE_ABBR,TOTAL_ON_SITE_RELEASE,TOTAL_OFF_SITE_RELEASE,TOTAL_ON_OFF_SITE_RELEASE,AIR_TOTAL_RELEASE,WATER_TOTAL_RELEASE,LAND_TOTAL_RELEASE,OTH_LANDF_TOT_REL,SURF_IMP_TOT_REL,OTH_DISP_TOT_REL,OTHER_LAND_RELEASE,TOT_ALL_OTH_CATEGS,State,State_Abbr,Latitude,Longitude,tooltip_fld
16,2010,AK,835635274.8048595,466682.3724464,836101957.1773058,419580.7418595998,190257.26299999998,835025436.8,244220.75,303802492.2,530978670.4499999,530978670.4499999,466560.2864464,Alaska,AK,61.370716,-152.404419,"Total On/Off Site: 836101957
͏
Total On: 835635275
͏
Total Off: 466682
͏
Total Land: 835025437
͏
Total Water: 190257
͏
Total Air: 419581"
17,2011,AK,1048248269.363984,463538.52290000004,1048711807.886884,574848.6809840001,157255.083,1047516165.6,272121.0,388493276.5,658750690.6,658750690.6,461159.12789999996,Alaska,AK,61.370716,-152.404419,"Total On/Off Site: 1048711808
͏
Total On: 1048248269
͏
Total Off: 463539
͏
Total Land: 1047516166
͏
Total Water: 157255
͏
Total Air: 574849"
18,2012,AK,876175658.709405,539996.923,876715655.6324053,439310.64940509986,570469.2,875165878.8600001,286623.89999999997,300884095.59999996,573995070.0600001,573995070.0600001,502427.03900000005,Alaska,AK,61.370716,-152.404419,"Total On/Off Site: 876715656
͏
Total On: 876175659
͏
Total Off: 539997
͏
Total Land: 875165879
͏
Total Water: 570469
͏
Total Air: 439311"
19,2013,AK,970307666.7675731,427177.677,970734844.444573,519512.865573,454972.412,969333181.4900002,402572.10000000003,232198772.3,736731690.9900001,736731690.9900001,426623.1279999999,Alaska,AK,61.370716,-152.404419,"Total On/Off Site: 970734844
͏
Total On: 970307667
͏
Total Off: 427178
͏
Total Land: 969333181
͏
Total Water: 454972
͏
Total Air: 519513"
20,2014,AK,1183155959.941769,448415.87328000006,1183604375.815049,384277.4597689,796541.0819999999,1181975141.3999999,305869.9,276791625.8,904877476.1,904877476.1,445467.8951400001,Alaska,AK,61.370716,-152.404419,"Total On/Off Site: 1183604376
͏
Total On: 1183155960
͏
Total Off: 448416
͏
Total Land: 1181975141
͏
Total Water: 796541
͏
Total Air: 384277"
21,2015,AK,622261129.2244625,697901.3912,622959030.6156625,400207.962441,781547.662,621079373.600022,359881.3,298651615.50002205,322067666.4000001,322067666.4000001,697236.852,Alaska,AK,61.370716,-152.404419,"Total On/Off Site: 622959031
͏
Total On: 622261129
͏
Total Off: 697901
͏
Total Land: 621079374
͏
Total Water: 781548
͏
Total Air: 400208"
22,2016,AK,853960275.9651744,621263.9899619999,854581539.9551365,387601.43417430006,687939.4310000001,852884735.0999999,273795.2,310860368.0,541750319.9,541750319.9,620021.8798,Alaska,AK,61.370716,-152.404419,"Total On/Off Site: 854581540
͏
Total On: 853960276
͏
Total Off: 621264
͏
Total Land: 852884735
͏
Total Water: 687939
͏
Total Air: 387601"
23,2017,AK,1173893376.376841,494306.721495,1174387683.0983365,343362.1618411,525540.9750000001,1173024473.2399998,163310.64,374733590.0,798127323.5999999,798127323.5999999,491726.46050000004,Alaska,AK,61.370716,-152.404419,"Total On/Off Site: 1174387683
͏
Total On: 1173893376
͏
Total Off: 494307
͏
Total Land: 1173024473
͏
Total Water: 525541
͏
Total Air: 343362"
24,2018,AK,971512210.5033048,306332.97173820017,971818543.475043,337926.64657220006,528185.1767294001,970646098.6800032,210636.68,372560426.0000032,597874880.0,597874880.0,287931.85440000007,Alaska,AK,61.370716,-152.404419,"Total On/Off Site: 971818543
͏
Total On: 971512211
͏
Total Off: 306333
͏
Total Land: 970646099
͏
Total Water: 528185
͏
Total Air: 337927"
25,2019,AK,851618326.1875188,566522.1753314999,852184848.3628503,324642.4209699001,317970.7165425,850975713.0500065,1286204.2500064,312019988.6,537669395.2,537669395.2,540552.956,Alaska,AK,61.370716,-152.404419,"Total On/Off Site: 852184848
͏
Total On: 851618326
͏
Total Off: 566522
͏
Total Land: 850975713
͏
Total Water: 317971
͏
Total Air: 324642"
26,1994,AL,95668912.0,13208086.0,108876998.0,89019740.0,2256128.0,4393044.0,0.0,113496.0,2721.0,3707600.0,6758167.0,Alabama,AL,32.806671,-86.79113,"Total On/Off Site: 108876998
͏
Total On: 95668912
͏
Total Off: 13208086
͏
Total Land: 4393044
͏
Total Water: 2256128
͏
Total Air: 89019740"
27,1995,AL,103466656.0,12750830.0,116217486.0,91371208.0,4687003.0,7408445.0,33316.0,123039.0,51199.0,7178003.0,8959840.0,Alabama,AL,32.806671,-86.79113,"Total On/Off Site: 116217486
͏
Total On: 103466656
͏
Total Off: 12750830
͏
Total Land: 7408445
͏
Total Water: 4687003
͏
Total Air: 91371208"
28,1996,AL,93182001.0,13225216.0,106407217.0,80375514.0,5374395.0,7432092.0,6415982.0,212554.0,35998.0,35998.0,8886895.0,Alabama,AL,32.806671,-86.79113,"Total On/Off Site: 106407217
͏
Total On: 93182001
͏
Total Off: 13225216
͏
Total Land: 7432092
͏
Total Water: 5374395
͏
Total Air: 80375514"
29,1997,AL,91222337.0,17103548.0,108325885.0,63576697.0,6638406.0,21007234.0,9022684.0,11012902.0,74461.0,74461.0,15385096.0,Alabama,AL,32.806671,-86.79113,"Total On/Off Site: 108325885
͏
Total On: 91222337
͏
Total Off: 17103548
͏
Total Land: 21007234
͏
Total Water: 6638406
͏
Total Air: 63576697"
30,1998,AL,142562334.0,10069695.0,152632029.0,84019605.0,6238033.0,52304696.0,12699924.0,26500863.0,57682.0,57682.0,14971581.0,Alabama,AL,32.806671,-86.79113,"Total On/Off Site: 152632029
͏
Total On: 142562334
͏
Total Off: 10069695
͏
Total Land: 52304696
͏
Total Water: 6238033
͏
Total Air: 84019605"
31,1999,AL,144415332.0,12515440.0,156930772.0,83379252.0,7304325.0,53731755.0,11263362.0,27911232.0,5539.0,5539.0,17511478.0,Alabama,AL,32.806671,-86.79113,"Total On/Off Site: 156930772
͏
Total On: 144415332
͏
Total Off: 12515440
͏
Total Land: 53731755
͏
Total Water: 7304325
͏
Total Air: 83379252"
32,2000,AL,148090940.89328083,20478655.881253306,168569596.77453405,81473411.72959328,7145311.5475978,59472217.6160898,9555382.420509199,28830887.701559305,8243.0,8243.0,25003548.595203504,Alabama,AL,32.806671,-86.79113,"Total On/Off Site: 168569597
͏
Total On: 148090941
͏
Total Off: 20478656
͏
Total Land: 59472218
͏
Total Water: 7145312
͏
Total Air: 81473412"
33,2001,AL,124814603.9181572,16881082.4695324,141695686.38768935,75601634.24289662,5785811.579821699,43427158.095439,13900840.0817787,21956084.500352804,122816.90999999999,122816.90999999999,20993176.7024437,Alabama,AL,32.806671,-86.79113,"Total On/Off Site: 141695686
͏
Total On: 124814604
͏
Total Off: 16881082
͏
Total Land: 43427158
͏
Total Water: 5785812
͏
Total Air: 75601634"
34,2002,AL,111600388.54937133,19578178.9160182,131178567.46538958,66076446.0866558,7278749.569127101,38245192.89358859,12178874.622106003,19677312.442498095,245741.22,245741.22,22609581.6276102,Alabama,AL,32.806671,-86.79113,"Total On/Off Site: 131178567
͏
Total On: 111600389
͏
Total Off: 19578179
͏
Total Land: 38245193
͏
Total Water: 7278750
͏
Total Air: 66076446"
35,2003,AL,99618308.51016599,20696855.0544434,120315163.56460907,58075806.503793076,7812880.9528292,33729621.05354379,10573354.046747599,14644214.6419962,531678.94,531678.94,22539077.7970412,Alabama,AL,32.806671,-86.79113,"Total On/Off Site: 120315164
͏
Total On: 99618309
͏
Total Off: 20696855
͏
Total Land: 33729621
͏
Total Water: 7812881
͏
Total Air: 58075807"
36,2004,AL,95725665.41089442,28594692.5342279,124320357.94512242,51828863.03197921,9998016.715321103,33898785.6635941,10015378.5631649,15998893.0335292,597045.67,597045.67,30575731.825005792,Alabama,AL,32.806671,-86.79113,"Total On/Off Site: 124320358
͏
Total On: 95725665
͏
Total Off: 28594693
͏
Total Land: 33898786
͏
Total Water: 9998017
͏
Total Air: 51828863"
37,2005,AL,98201962.50794989,25832685.3796402,124034647.88759002,51871494.502872385,10619502.416491097,35710965.588586494,10873634.8615826,15972194.263529202,590723.2157497,590723.2157497,28376540.975070994,Alabama,AL,32.806671,-86.79113,"Total On/Off Site: 124034648
͏
Total On: 98201963
͏
Total Off: 25832685
͏
Total Land: 35710966
͏
Total Water: 10619502
͏
Total Air: 51871495"
