,REPORTING_YEAR,STATE_ABBR,TOTAL_ON_OFF_SITE_RELEASE,WATER_TOTAL_RELEASE,LAND_TOTAL_RELEASE
118,2003,WY,19459549.0793579,10994.480697,16064337.834
119,2004,AZ,56467487.6418056,918.3499999999999,51064909.22004698
120,2004,CO,25261721.68549059,3101883.2400816004,13035146.660000002
121,2004,MT,61132621.41479801,116647.27,55578158.32016319
122,2004,NE,50017801.042294405,20145099.4091855,5249231.952443102
123,2004,NM,16446750.175827999,72316.15000000001,9880290.512
124,2004,UT,175466915.8717103,56412.19000000001,154052226.7906177
125,2004,WY,16214762.216506692,12950.631,12896289.69
126,2005,AZ,64195870.37626991,680.74,58559317.1651318
127,2005,CO,26735992.521371305,3754570.6762448,12374885.77
128,2005,MT,59050186.452678606,141625.32,53415195.370114915
129,2005,NE,48549165.27574763,21082285.1934638,4261090.1847784
130,2005,NM,18736777.356996097,58395.600000000006,12352065.164
131,2005,UT,180993525.50719208,54524.549999999996,160755989.7459651
132,2005,WY,15621877.2708067,9029.83,12417114.5141
133,2006,AZ,98717773.97715858,3726.0099999999993,91535636.0604344
134,2006,CO,24860488.363858994,3298396.8732426004,12244065.240000004
135,2006,MT,43331911.32292729,147991.22,37988077.310119495
136,2006,NE,44722965.43864961,18842321.15006021,3508464.673282401
137,2006,NM,29331732.685198292,57033.770000000004,22311605.893
138,2006,UT,202057062.79202887,100273.14,181207677.1696108
139,2006,WY,15283797.861659493,7856.1,11836755.976240002
140,2007,AZ,89303131.54878184,4364.3,83094613.88044168
141,2007,CO,24514788.9036682,3357388.6352426005,12859791.790672
142,2007,MT,49222899.72979312,170145.18999999997,43269124.5002198
143,2007,NE,43838967.43736307,17409778.594872303,3171539.2886825996
144,2007,NM,23603553.3620197,58885.88,16953351.46
145,2007,UT,177621208.59114334,94393.60004409999,157297744.66985232
146,2007,WY,15609650.0666819,9853.130174,12158173.624629999
147,2008,AZ,95425541.0074958,58876.51,90187776.01776299
148,2008,CO,22676853.027415294,2645777.4557718,12694991.643410001
149,2008,MT,47549614.66370873,212800.16020070002,42532151.9600688
150,2008,NE,36124502.946437314,16979498.858896703,5320786.495219402
151,2008,NM,22567246.85528,53744.53,16978174.481
152,2008,UT,223196508.60280904,92184.07,203086957.46252593
153,2008,WY,20378550.31174331,11501.0,16564650.1587324
154,2009,AZ,61380180.839895606,1343.1100000000001,57620841.7246327
155,2009,CO,20162235.7023036,1568743.5737718,13262987.334000003
156,2009,MT,41145728.83964658,259491.0101764,37206454.29621961
157,2009,NE,30141986.791115582,15174931.357890198,6151800.8022239
158,2009,NM,19126529.675841097,38360.765,13501077.86
159,2009,UT,146871440.30090734,100856.1222139,136799821.4568006
160,2009,WY,25145483.143290997,9759.001518,21531822.576888397
161,2010,AZ,80040913.1457694,1618.6599999999999,75908737.87340239
162,2010,CO,23156748.709414307,720881.0100875001,15539369.884235498
163,2010,MT,38398985.817044,237165.4501544,34850986.923999995
164,2010,NE,32189514.596330896,14727942.031999903,8178949.336251101
165,2010,NM,15623746.017574398,50801.062,10834755.7200162
166,2010,UT,176458356.87772983,102493.96022050001,165318050.10126618
167,2010,WY,22355308.3141892,13788.000001600001,18882711.5084742
168,2011,AZ,97842378.9766098,1180.3049999999996,94204992.23244448
169,2011,CO,26418966.334158614,1310011.6680903,17986651.999999996
170,2011,MT,34152503.795635,193926.0602646,31059447.093070004
171,2011,NE,27799982.78418051,11268160.328167498,7852696.890000001
172,2011,NM,18096546.0450412,46757.858,12950259.2200168
173,2011,UT,198380699.025952,108574.80023020001,183407374.20994282
174,2011,WY,19128084.577762906,16706.1000021,15013906.929874802
175,2012,AZ,86307554.02217981,1172.045,82199337.64967811
176,2012,CO,28516876.186085176,849619.5270906999,20435456.279999997
177,2012,MT,34055109.6234143,195669.1452646,31015072.61468
178,2012,NE,24431054.91609,10523995.771215001,5889136.130000001
179,2012,NM,27568896.7348405,39784.384,22955017.950016797
180,2012,UT,193306886.3345048,104763.52622520001,181947511.39890984
181,2012,WY,17158105.4760818,15149.2067759,12825459.412481802
182,2013,AZ,70627833.81204781,832.105,66633522.052
183,2013,CO,27742735.6402411,1180879.7370932999,19071253.439999998
184,2013,MT,34883025.74888681,244656.25028670003,31845347.738999996
185,2013,NE,26491696.742247794,11858149.321040003,6933401.221256999
186,2013,NM,25945790.777894806,48761.193999999996,20853662.4300156
187,2013,UT,526781608.57109,112363.50127220001,516858987.1794691
188,2013,WY,20105470.29984409,15065.132527000002,15854649.239182001
189,2014,AZ,79137303.63048427,1155.988,74566413.07900001
190,2014,CO,29860681.125424787,1523037.3910971,20133401.716000013
191,2014,MT,37763895.08423161,225755.31012479996,34346463.328999996
192,2014,NE,27134983.995005216,11626515.2362639,6098696.2700000005
193,2014,NM,23607454.119352996,35625.228,18810912.8100155
194,2014,UT,210026544.41649193,126212.07025830001,200272247.8018052
195,2014,WY,18217894.446057595,12160.449999999999,14756648.412600003
196,2015,AZ,86063989.16178691,740.2920000000001,81755863.71299998
197,2015,CO,28028222.1689954,1157906.9260087,18430474.586999997
198,2015,MT,38447661.45714481,107894.0,35329700.051740006
199,2015,NE,21567862.62478981,7300413.0513951015,6344859.5
200,2015,NM,22874096.0417183,145451.46000000002,18660721.4390174
201,2015,UT,230518064.9296605,110104.3104343,218879853.46764895
202,2015,WY,20966293.265081596,15336.630000000001,17664777.1191
203,2016,AZ,95060515.64021897,888.195,91026864.97900005
204,2016,CO,32703652.358103838,923257.1250282,21282483.2308
205,2016,MT,37539950.112155594,115122.3410022,34876513.110168
206,2016,NE,18519942.304778807,4849222.8902023,5800748.72
207,2016,NM,19653889.777632996,142069.157,15261358.011518098
208,2016,UT,272749446.043608,116174.21021920002,261236390.77762118
209,2016,WY,18586221.424590603,6287.139,15485634.867899999
210,2017,AZ,82662179.25220284,828.5799999999999,78725222.89299998
211,2017,CO,32143551.964546714,1422000.7663373002,23199374.082200013
212,2017,MT,39683976.31242821,76475.22966,36860722.192688406
213,2017,NE,17377884.316201393,4082320.0861556,4187637.69
214,2017,NM,18139358.355481595,153212.11800000002,14000384.940015398
215,2017,UT,305386910.58842313,123517.86021790002,290319662.74568206
216,2017,WY,20208848.447131194,8668.364,16610836.087
217,2018,AZ,87317968.25749186,896.9928067,83772794.5953
218,2018,CO,24561957.161807414,768090.4184111999,20045817.817
