,REPORTING_YEAR,STATE_ABBR,TOTAL_ON_SITE_RELEASE,TOTAL_OFF_SITE_RELEASE,TOTAL_ON_OFF_SITE_RELEASE,AIR_TOTAL_RELEASE,WATER_TOTAL_RELEASE,LAND_TOTAL_RELEASE,OTH_LANDF_TOT_REL,SURF_IMP_TOT_REL,OTH_DISP_TOT_REL,OTHER_LAND_RELEASE,TOT_ALL_OTH_CATEGS,State,State_Abbr,Latitude,Longitude
722,2014,NC,43060888.88846036,19720775.737113707,62781664.625574075,23094546.466842234,8643352.173623601,11322990.247994602,6869616.8530574,2432667.1115000006,1402587.9632,1402587.9632,20276744.322019793,North Carolina,NC,35.630066,-79.806419
723,2015,NC,40800535.411698684,24116011.002747506,64916546.4144462,22712926.971193194,8429109.322224293,9658499.118281001,6064781.8081069,2411781.5000000005,467627.37000000005,467627.37000000005,24191586.221888613,North Carolina,NC,35.630066,-79.806419
724,2016,NC,39377876.9828771,16977996.115229107,56355873.09810601,21971894.400839314,7989016.462360101,9416966.119677601,5846945.939450301,2417955.0,428146.8000000001,428146.8000000001,18605484.972404104,North Carolina,NC,35.630066,-79.806419
725,2017,NC,39681168.60421076,13164202.222135698,52845370.82634648,22930090.728537705,7241919.7287394,9509158.146933798,5707189.523764599,2359290.2,1004926.54,1004926.54,14521264.529289497,North Carolina,NC,35.630066,-79.806419
726,2018,NC,40168253.62883061,15335970.4660924,55504224.09492315,22599043.45624599,7878857.730943001,9690352.4416418,5823848.651616001,2477212.2,836711.9,836711.9,17297734.638592407,North Carolina,NC,35.630066,-79.806419
727,2019,NC,39049895.509405166,17988418.948691893,57038314.458097085,21533485.37640832,8184227.3744426025,9332182.7585542,5774282.9485542,1937898.0999999999,1058050.3699999996,1058050.3699999996,20079377.13929189,North Carolina,NC,35.630066,-79.806419
728,1994,ND,1652473.0,11285.0,1663758.0,1607896.0,43312.0,1265.0,0.0,0.0,0.0,515.0,215774.0,North Dakota,ND,47.528912,-99.784012
729,1995,ND,2909112.0,23813.0,2932925.0,2532973.0,374864.0,1275.0,0.0,0.0,0.0,525.0,664501.0,North Dakota,ND,47.528912,-99.784012
730,1996,ND,4029282.0,3490.0,4032772.0,3709077.0,317642.0,2563.0,13.0,1800.0,0.0,0.0,202569.0,North Dakota,ND,47.528912,-99.784012
731,1997,ND,4091740.0,33537.0,4125277.0,3649539.0,439728.0,2473.0,18.0,1700.0,5.0,5.0,237908.0,North Dakota,ND,47.528912,-99.784012
732,1998,ND,14144464.0,11450938.0,25595402.0,5257881.0,102305.0,8784278.0,2637906.0,5774010.0,274905.0,274905.0,11703294.0,North Dakota,ND,47.528912,-99.784012
733,1999,ND,14784691.0,10495351.0,25280042.0,5394499.0,225165.0,9165027.0,2221607.0,5870440.0,927005.0,927005.0,10783687.0,North Dakota,ND,47.528912,-99.784012
734,2000,ND,15649857.7487494,10110748.479999999,25760606.228749394,4847034.7470075,125853.40000000001,10676969.601742001,3738212.9001985,6366075.5015435,432037.19999999995,432037.19999999995,10250607.68,North Dakota,ND,47.528912,-99.784012
